T	FPT
1.806806806806807e-05	0.0
1.8103103103103105e-05	0.0
1.813813813813814e-05	0.0
1.8173173173173176e-05	0.0
1.820820820820821e-05	0.0
1.8243243243243247e-05	0.0
1.827827827827828e-05	0.0
1.8313313313313315e-05	0.0
1.834834834834835e-05	0.0
1.8383383383383386e-05	0.0
1.8418418418418422e-05	0.0
1.8453453453453454e-05	0.0
1.848848848848849e-05	0.0
1.8523523523523525e-05	0.0
1.855855855855856e-05	0.0
1.8593593593593597e-05	0.0
1.8628628628628632e-05	0.0
1.8663663663663664e-05	0.0
1.86986986986987e-05	0.0
1.8733733733733736e-05	0.0
1.876876876876877e-05	0.0
1.8803803803803807e-05	0.0
1.8838838838838843e-05	0.0
1.8873873873873875e-05	0.0
1.890890890890891e-05	0.0
1.8943943943943946e-05	0.0
1.8978978978978982e-05	0.0
1.9014014014014017e-05	0.0
1.9049049049049053e-05	0.0
1.9084084084084085e-05	0.0
1.911911911911912e-05	0.0
1.9154154154154156e-05	0.0
1.9189189189189192e-05	0.0
1.9224224224224228e-05	0.0
1.9259259259259263e-05	0.0
1.9294294294294296e-05	0.0
1.932932932932933e-05	0.0
1.9364364364364367e-05	0.0
1.9399399399399402e-05	0.0
1.9434434434434438e-05	0.0
1.946946946946947e-05	0.0
1.9504504504504506e-05	0.0
1.953953953953954e-05	0.0
1.9574574574574577e-05	0.0
1.9609609609609613e-05	0.0
1.964464464464465e-05	0.0
1.967967967967968e-05	0.0
1.9714714714714716e-05	0.0
1.9749749749749752e-05	0.0
1.9784784784784788e-05	0.0
1.9819819819819823e-05	0.0
1.985485485485486e-05	0.0
1.988988988988989e-05	0.0
1.9924924924924927e-05	0.0
1.9959959959959962e-05	0.0
1.9994994994994998e-05	0.0
2.0030030030030034e-05	0.0
2.006506506506507e-05	0.0
2.01001001001001e-05	0.0
2.0135135135135137e-05	0.0
2.0170170170170173e-05	0.0
2.020520520520521e-05	0.0
2.0240240240240244e-05	0.0
2.0275275275275276e-05	0.0
2.0310310310310312e-05	0.0
2.0345345345345348e-05	0.0
2.0380380380380383e-05	0.0
2.041541541541542e-05	0.0
2.045045045045045e-05	0.0
2.0485485485485487e-05	0.0
2.0520520520520522e-05	0.0
2.0555555555555558e-05	0.0
2.0590590590590594e-05	0.0
2.0625625625625626e-05	0.0
2.066066066066066e-05	0.0
2.0695695695695697e-05	0.0
2.0730730730730733e-05	0.0
2.0765765765765768e-05	0.0
2.0800800800800804e-05	0.0
2.0835835835835836e-05	0.0
2.0870870870870872e-05	0.0
2.0905905905905907e-05	0.0
2.0940940940940943e-05	0.0
2.097597597597598e-05	0.0
2.1011011011011014e-05	0.0
