# ------------------ First Passage Time Distribution -----------------
TIME	FPTD
3.844215715715715e-09	0.051150927
3.854224824824825e-09	0.050986833
3.864233933933933e-09	0.050823603
3.874243043043042e-09	0.050661234
3.8842521521521515e-09	0.050499719
3.8942612612612606e-09	0.050339055
3.90427037037037e-09	0.050179238
3.914279479479479e-09	0.050020263
3.924288588588588e-09	0.049862125
3.934297697697697e-09	0.049704819
3.944306806806806e-09	0.049548343
3.954315915915915e-09	0.049392691
3.9643250250250245e-09	0.049237859
3.9743341341341336e-09	0.049083843
3.984343243243243e-09	0.048930637
3.994352352352352e-09	0.048778239
4.004361461461462e-09	0.048626643
4.01437057057057e-09	0.048475847
4.024379679679679e-09	0.048325844
4.034388788788788e-09	0.048176632
4.0443978978978975e-09	0.048028205
4.054407007007007e-09	0.047880561
4.064416116116116e-09	0.047733694
4.074425225225225e-09	0.047587601
4.084434334334334e-09	0.047442278
4.094443443443443e-09	0.04729772
4.104452552552553e-09	0.047153923
4.114461661661661e-09	0.047010884
4.1244707707707705e-09	0.046868599
4.1344798798798796e-09	0.046727063
4.144488988988989e-09	0.046586273
4.154498098098098e-09	0.046446223
4.164507207207207e-09	0.046306913
4.174516316316316e-09	0.046168335
4.184525425425424e-09	0.046030488
4.194534534534534e-09	0.045893367
4.204543643643643e-09	0.045756968
4.2145527527527526e-09	0.045621288
4.224561861861862e-09	0.045486323
4.23457097097097e-09	0.045352068
4.24458008008008e-09	0.045218521
4.254589189189188e-09	0.045085677
4.264598298298297e-09	0.044953533
4.274607407407407e-09	0.044822085
4.284616516516516e-09	0.044691329
4.2946256256256256e-09	0.044561263
4.304634734734734e-09	0.044431881
4.314643843843843e-09	0.044303181
4.324652952952953e-09	0.044175159
4.334662062062061e-09	0.044047811
4.34467117117117e-09	0.043921134
4.3546802802802795e-09	0.043795125
4.364689389389389e-09	0.043669779
4.3746984984984986e-09	0.043545093
4.384707607607607e-09	0.043421064
4.394716716716716e-09	0.043297689
4.404725825825825e-09	0.043174963
4.414734934934934e-09	0.043052885
4.424744044044044e-09	0.042931449
4.4347531531531525e-09	0.042810652
4.444762262262262e-09	0.042690493
4.454771371371371e-09	0.042570965
4.46478048048048e-09	0.042452068
4.474789589589589e-09	0.042333797
4.484798698698698e-09	0.042216149
4.494807807807807e-09	0.042099121
4.504816916916917e-09	0.041982709
4.5148260260260255e-09	0.041866911
4.524835135135135e-09	0.041751722
